state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Kottayam,Pampady APMC,Brinjal,Brinjal,FAQ,09/01/2026,2500,3500,3000
Odisha,Sundergarh,Panposh APMC,Brinjal,Other,FAQ,09/01/2026,4000,4500,4200
Punjab,Tarntaran,Tarantaran APMC,Cauliflower,Other,Local,09/01/2026,400,400,400
Kerala,Kottayam,Pampady APMC,Cauliflower,Cauliflower,FAQ,09/01/2026,5500,6500,6000
Uttar Pradesh,Hathras,Shadabad APMC,Potato,Potato,Small,09/01/2026,500,600,550
Punjab,Tarntaran,Tarantaran APMC,Potato,Other,Local,09/01/2026,550,550,550
Kerala,Alappuzha,Harippad APMC,Onion,Big,FAQ,09/01/2026,2500,3000,2500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Grapes,Other,Grade A,09/01/2026,7000,9500,8000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Banana,Other,Grade A,09/01/2026,1500,2500,2000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Orange,Other,Grade A,09/01/2026,6000,8000,7500
Gujarat,Narmada,Rajpipla APMC,Banana,Other,Medium,09/01/2026,2025,2175,2100
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Kinnow,Other,Grade A,09/01/2026,2500,4000,3500
Haryana,Gurgaon,Gurgaon APMC,Kinnow,Other,Grade B,09/01/2026,2000,4000,3000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Lemon,Lemon,Grade A,09/01/2026,2000,3000,2500
Kerala,Kottayam,Pampady APMC,Indian Beans(Seam),Other,FAQ,09/01/2026,4500,5500,5000
Kerala,Kottayam,Pampady APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,09/01/2026,3500,4500,4000
Punjab,Tarntaran,Tarantaran APMC,Peas Wet,Other,Local,09/01/2026,2200,2200,2200
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Cucumbar(Kheera),Cucumbar,Grade A,09/01/2026,1500,3000,2000
Odisha,Sundergarh,Panposh APMC,Cucumbar(Kheera),Other,FAQ,09/01/2026,3500,4200,4000
Punjab,Tarntaran,Tarantaran APMC,Cabbage,Cabbage,Local,09/01/2026,500,500,500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Green Chilli,Green Chilly,Grade A,09/01/2026,5000,7500,7000
Kerala,Alappuzha,Harippad APMC,Amaranthus,Other,FAQ,09/01/2026,5000,5500,5000
Odisha,Sundergarh,Panposh APMC,Bottle gourd,Other,FAQ,09/01/2026,2000,2500,2200
Haryana,Gurgaon,Gurgaon APMC,Tomato,Other,Grade A,09/01/2026,2000,4000,3000
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,09/01/2026,1200,1200,1200
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Papaya,Papaya,Grade A,09/01/2026,2500,4000,3000
Kerala,Alappuzha,Harippad APMC,Brinjal,Brinjal,FAQ,09/01/2026,5000,5500,5000
Odisha,Bargarh,Attabira APMC,Cauliflower,Other,Local,09/01/2026,1800,2200,2000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Onion,Other,Grade A,09/01/2026,1500,2300,2000
Haryana,Gurgaon,Gurgaon APMC,Onion,Other,Grade A,09/01/2026,2000,3000,2500
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,09/01/2026,1350,1350,1350
Kerala,Kottayam,Pampady APMC,Onion,Big,FAQ,09/01/2026,4000,5000,4500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Apple,Other,Grade A,09/01/2026,8000,11000,9000
Kerala,Alappuzha,Harippad APMC,Colacasia,Other,FAQ,09/01/2026,5500,6000,5500
Punjab,Amritsar,Rayya APMC,Peas Wet,Other,FAQ,09/01/2026,2100,2100,2100
Kerala,Kottayam,Pampady APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,FAQ,09/01/2026,5000,6000,5500
Odisha,Bargarh,Attabira APMC,Raddish,Other,Local,09/01/2026,1400,1800,1600
Punjab,Tarntaran,Tarantaran APMC,Raddish,Other,Local,09/01/2026,500,500,500
Punjab,Tarntaran,Tarantaran APMC,Cucumbar(Kheera),Cucumbar,Local,09/01/2026,1000,1000,1000
Kerala,Alappuzha,Harippad APMC,Beetroot,Beetroot,FAQ,09/01/2026,5000,5500,5000
Kerala,Alappuzha,Harippad APMC,Cabbage,Cabbage,FAQ,09/01/2026,4000,4500,4000
Kerala,Kottayam,Pampady APMC,Cabbage,Cabbage,FAQ,09/01/2026,4500,5500,5000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Carrot,Other,Grade A,09/01/2026,1000,2000,1500
Punjab,Amritsar,Rayya APMC,Carrot,Carrot,FAQ,09/01/2026,1560,1560,1560
Odisha,Sundergarh,Panposh APMC,Carrot,Other,FAQ,09/01/2026,3000,4000,3500
Kerala,Kottayam,Pampady APMC,Ginger(Green),Green Ginger,FAQ,09/01/2026,10000,12009,11000
Kerala,Kottayam,Pampady APMC,Green Chilli,Green Chilly,FAQ,09/01/2026,3000,4000,3600
Kerala,Alappuzha,Harippad APMC,Bhindi(Ladies Finger),Other,FAQ,09/01/2026,4000,4500,4000
Kerala,Alappuzha,Harippad APMC,Ashgourd,Other,FAQ,09/01/2026,3000,3500,3000
Kerala,Kottayam,Pampady APMC,Ashgourd,Ashgourd,FAQ,09/01/2026,2500,3500,3000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bitter gourd,Bitter Gourd,FAQ,09/01/2026,2200,2200,2200
Kerala,Kottayam,Pampady APMC,Bitter gourd,Bitter Gourd,FAQ,09/01/2026,5500,6509,6000
Kerala,Kottayam,Pampady APMC,Tomato,Tomato,FAQ,09/01/2026,4500,5500,5000
Odisha,Sundergarh,Panposh APMC,Tomato,Deshi,FAQ,09/01/2026,4000,5000,4500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Brinjal,Brinjal,Grade A,09/01/2026,1500,2500,2000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,09/01/2026,1800,1800,1800
Kerala,Alappuzha,Harippad APMC,Cauliflower,Cauliflower,FAQ,09/01/2026,4000,4500,4000
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,09/01/2026,1100,1100,1100
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cauliflower,Cauliflower,FAQ,09/01/2026,2100,2100,2100
Punjab,Amritsar,Rayya APMC,Potato,Other,FAQ,09/01/2026,520,520,520
Kerala,Kottayam,Pampady APMC,Potato,Big,Grade A,09/01/2026,4500,5500,5000
Uttar Pradesh,Hathras,Shadabad APMC,Onion,Onion,Small,09/01/2026,700,800,750
Haryana,Gurgaon,Gurgaon APMC,Banana,Other,Grade B,09/01/2026,2000,3000,2500
