state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp
Assam,Barpeta,Barpeta Road APMC,Capsicum,Capsicum,FAQ,08/01/2026,4800.0,5200.0,5000.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Brinjal,Brinjal,Local,08/01/2026,2500.0,4000.0,3500.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Cucumbar(Kheera),Cucumbar,Local,08/01/2026,2000.0,3000.0,2500.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Beetroot,Beetroot,Local,08/01/2026,3000.0,4000.0,3500.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Squash(Chappal Kadoo),Squash(Chappal Kadoo),Local,08/01/2026,2000.0,3000.0,2500.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Onion,Onion,Local,08/01/2026,3000.0,3800.0,3500.0,2026-01-09T01:50:05.861050
Assam,Dhemaji,Silapathar APMC,Bottle gourd,Bottle Gourd,Local,08/01/2026,1000.0,1500.0,1200.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Ashgourd,Ashgourd,FAQ,08/01/2026,15.0,17.0,15.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Bitter gourd,Bitter Gourd,FAQ,08/01/2026,3000.0,3500.0,3000.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Bottle gourd,Bottle Gourd,Local,08/01/2026,25.0,35.0,30.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Carrot,Carrot-Organic,Local,08/01/2026,2000.0,2500.0,2200.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Green Chilli,Green Chilly,Local,08/01/2026,3000.0,3500.0,3500.0,2026-01-09T01:50:05.861050
Assam,Goalpara,Goalpara APMC,Onion,Other,FAQ,08/01/2026,2600.0,2800.0,2800.0,2026-01-09T01:50:05.861050
Assam,Sonitpur,Dhekiajuli APMC,Brinjal,Other,FAQ,08/01/2026,2200.0,2500.0,2400.0,2026-01-09T01:50:05.861050
Assam,Sonitpur,Dhekiajuli APMC,Potato,Local,FAQ,08/01/2026,1000.0,1200.0,1200.0,2026-01-09T01:50:05.861050
Assam,Sibsagar,Sibsagar APMC,Pumpkin,Pumpkin,FAQ,08/01/2026,36.0,46.0,40.0,2026-01-09T01:50:05.861050
Assam,Barpeta,Bohorihat APMC,Tomato,Other,FAQ,08/01/2026,3500.0,4000.0,3700.0,2026-01-09T01:50:05.861050
Assam,Darrang,Balugaon APMC,Bottle gourd,Bottle Gourd,Local,08/01/2026,3300.0,3500.0,3400.0,2026-01-09T01:50:05.861050
Assam,Darrang,Besimari APMC,Cabbage,Cabbage,Local,08/01/2026,1200.0,1400.0,1300.0,2026-01-09T01:50:05.861050
Assam,Darrang,Besimari APMC,French Beans(Frasbean),French Beans (Frasbean),Local,08/01/2026,2600.0,2800.0,2700.0,2026-01-09T01:50:05.861050
Assam,Darrang,Besimari APMC,Tomato,Tomato,Local,08/01/2026,4100.0,4300.0,4200.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Ayodhya,Ayodhya APMC,Rice,Common,Local,08/01/2026,2860.0,3000.0,2930.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Ayodhya,Ayodhya APMC,Onion,Red,Medium,08/01/2026,1380.0,1500.0,1420.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Ayodhya,Ayodhya APMC,Potato,Potato,Medium,08/01/2026,650.0,800.0,780.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Sandila APMC,Green Chilli,Green Chilly,Medium,08/01/2026,2800.0,2900.0,2850.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Sandila APMC,Pumpkin,Pumpkin,Medium,08/01/2026,1680.0,1760.0,1720.0,2026-01-09T01:50:05.861050
Punjab,Jalandhar,Phillaur(Apra Mandi) APMC,Green Chilli,Other,FAQ,08/01/2026,6500.0,6500.0,6500.0,2026-01-09T01:50:05.861050
Punjab,Jalandhar,Phillaur(Apra Mandi) APMC,Carrot,Other,FAQ,08/01/2026,1000.0,1000.0,1000.0,2026-01-09T01:50:05.861050
Himachal Pradesh,Bilaspur,PMY Bilaspur,Bottle gourd,Other,Grade B,08/01/2026,2500.0,3500.0,3000.0,2026-01-09T01:50:05.861050
Himachal Pradesh,Bilaspur,PMY Bilaspur,Cabbage,Other,Grade B,08/01/2026,800.0,1200.0,800.0,2026-01-09T01:50:05.861050
Haryana,Ambala,Ambala City APMC,Green Fodder,Green Fodder,Local,08/01/2026,250.0,250.0,250.0,2026-01-09T01:50:05.861050
Haryana,Ambala,Ambala City APMC,Dry Fodder,Dry Fodder,Local,08/01/2026,700.0,700.0,700.0,2026-01-09T01:50:05.861050
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Banana,Medium,Grade A,08/01/2026,3500.0,4000.0,3800.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jhansi,Jhansi (Grain) APMC,Groundnut,F.A.Q,FAQ,08/01/2026,4500.0,5600.0,5420.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jhansi,Jhansi (Grain) APMC,Barley(Jau),Dara,FAQ,08/01/2026,2200.0,2250.0,2210.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jhansi,Jhansi (Grain) APMC,Wheat,Dara,FAQ,08/01/2026,2400.0,2500.0,2450.0,2026-01-09T01:50:05.861050
Jammu and Kashmir,Baramulla,Nowpora APMC,Apple,American,Grade A,08/01/2026,5100.0,5100.0,5100.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Green Gram(Moong)(Whole),Green Gram Dhall-I,FAQ,08/01/2026,12000.0,13500.0,12800.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Coconut,Coconut,FAQ,08/01/2026,6000.0,6400.0,6300.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Ashgourd,Ashgourd,Large,08/01/2026,1600.0,2600.0,2200.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Ashgourd,Ashgourd,Small,08/01/2026,1500.0,2500.0,2100.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Lime,Other,Medium,08/01/2026,4000.0,5000.0,4600.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Cowpea(Lobia/Karamani),Cowpea (Whole),FAQ,08/01/2026,8500.0,9500.0,9100.0,2026-01-09T01:50:05.861050
Kerala,Palakad,Palakkad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,08/01/2026,2000.0,3000.0,2600.0,2026-01-09T01:50:05.861050
Kerala,Thirssur,Thrissur APMC,Banana - Green,Banana - Green,FAQ,08/01/2026,4500.0,4500.0,4500.0,2026-01-09T01:50:05.861050
Kerala,Thirssur,Kodungalloor APMC,Carrot,Carrot,Grade A,08/01/2026,3500.0,3500.0,3500.0,2026-01-09T01:50:05.861050
Kerala,Thirssur,Kodungalloor APMC,Drumstick,Drumstick,Grade A,08/01/2026,22000.0,22000.0,22000.0,2026-01-09T01:50:05.861050
Kerala,Thirssur,Kodungalloor APMC,French Beans(Frasbean),Other,Grade A,08/01/2026,2500.0,2500.0,2500.0,2026-01-09T01:50:05.861050
Kerala,Thirssur,Kodungalloor APMC,Bitter gourd,Bitter Gourd,Grade A,08/01/2026,4000.0,4000.0,4000.0,2026-01-09T01:50:05.861050
Kerala,Wayanad,Kalpetta APMC,Ashgourd,Other,FAQ,08/01/2026,1400.0,1500.0,1500.0,2026-01-09T01:50:05.861050
Kerala,Wayanad,Kalpetta APMC,Rubber,RSS-4,FAQ,08/01/2026,17200.0,17300.0,17300.0,2026-01-09T01:50:05.861050
Kerala,Wayanad,Kalpetta APMC,Snakeguard,Other,FAQ,08/01/2026,2600.0,2700.0,2700.0,2026-01-09T01:50:05.861050
Kerala,Wayanad,Kalpetta APMC,Bhindi(Ladies Finger),Bhindi,FAQ,08/01/2026,2500.0,2600.0,2600.0,2026-01-09T01:50:05.861050
Kerala,Wayanad,Kalpetta APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,3500.0,3600.0,3600.0,2026-01-09T01:50:05.861050
Odisha,Jajpur,Jajpur APMC,Brinjal,Brinjal,Medium,08/01/2026,2500.0,3500.0,3000.0,2026-01-09T01:50:05.861050
Odisha,Kalahandi,Junagarh APMC,Tomato,Other,Grade B,08/01/2026,3400.0,3800.0,3600.0,2026-01-09T01:50:05.861050
Odisha,Kalahandi,Junagarh APMC,Brinjal,Other,Grade B,08/01/2026,2000.0,2400.0,2200.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,2500.0,2500.0,2500.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Tomato,Tomato,FAQ,08/01/2026,3500.0,3500.0,3500.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Onion,Onion,FAQ,08/01/2026,3000.0,3000.0,3000.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Peas Wet,Other,FAQ,08/01/2026,2500.0,2500.0,2500.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Brinjal,Brinjal,FAQ,08/01/2026,1500.0,1500.0,1500.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Papaya,Other,Medium,08/01/2026,3000.0,3000.0,3000.0,2026-01-09T01:50:05.861050
Punjab,Fazilka,Fazilka APMC,Cucumbar(Kheera),Cucumbar,FAQ,08/01/2026,3000.0,3000.0,3000.0,2026-01-09T01:50:05.861050
Odisha,Kandhamal,Tikabali APMC,Cluster beans,Cluster Beans,Grade A,08/01/2026,5000.0,5000.0,5000.0,2026-01-09T01:50:05.861050
Odisha,Rayagada,Gunpur APMC,Cauliflower,Cauliflower,FAQ,08/01/2026,4250.0,4750.0,4500.0,2026-01-09T01:50:05.861050
Odisha,Rayagada,Gunpur APMC,Pumpkin,Other,FAQ,08/01/2026,3000.0,3200.0,3100.0,2026-01-09T01:50:05.861050
Odisha,Rayagada,Rayagada APMC,Brinjal,Brinjal,Local,08/01/2026,3000.0,3100.0,3100.0,2026-01-09T01:50:05.861050
Punjab,Gurdaspur,Batala APMC,Potato,Other,Grade C,08/01/2026,500.0,500.0,500.0,2026-01-09T01:50:05.861050
Punjab,Gurdaspur,Batala APMC,Capsicum,Other,Grade C,08/01/2026,3200.0,3200.0,3200.0,2026-01-09T01:50:05.861050
Punjab,Gurdaspur,Batala APMC,Spinach,Spinach,Grade C,08/01/2026,500.0,500.0,500.0,2026-01-09T01:50:05.861050
Punjab,Gurdaspur,Batala APMC,Raddish,Other,Grade C,08/01/2026,500.0,500.0,500.0,2026-01-09T01:50:05.861050
Punjab,Kapurthala,Sultanpur APMC,Carrot,Other,Local,08/01/2026,1000.0,1000.0,1000.0,2026-01-09T01:50:05.861050
Punjab,Moga,Baghapurana APMC,Carrot,Carrot,Grade B,08/01/2026,600.0,1000.0,800.0,2026-01-09T01:50:05.861050
Punjab,Moga,Baghapurana APMC,Peas Wet,Peas Wet,Grade B,08/01/2026,1800.0,2200.0,2000.0,2026-01-09T01:50:05.861050
Punjab,Moga,Baghapurana APMC,Banana,Medium,Grade B,08/01/2026,2000.0,3000.0,2500.0,2026-01-09T01:50:05.861050
Punjab,Muktsar,Muktsar APMC,Chikoos(Sapota),Other,Grade A,08/01/2026,3500.0,4500.0,4000.0,2026-01-09T01:50:05.861050
Punjab,Muktsar,Muktsar APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,2500.0,3000.0,2800.0,2026-01-09T01:50:05.861050
Punjab,Muktsar,Muktsar APMC,Garlic,Garlic,FAQ,08/01/2026,4000.0,5000.0,4500.0,2026-01-09T01:50:05.861050
Punjab,Muktsar,Muktsar APMC,Cotton,Other,FAQ,08/01/2026,7220.0,7225.0,7220.0,2026-01-09T01:50:05.861050
Punjab,Muktsar,Malout APMC,Paddy(Basmati),1121,FAQ,08/01/2026,4000.0,4000.0,4000.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patiala APMC,Pineapple,Pine Apple,Grade A,08/01/2026,3000.0,4000.0,3500.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patiala APMC,Papaya,Papaya,Grade A,08/01/2026,1200.0,1600.0,1400.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patiala APMC,Cabbage,Cabbage,Grade A,08/01/2026,200.0,400.0,300.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patiala APMC,Onion,Onion,Grade A,08/01/2026,200.0,400.0,300.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patran APMC,Peas Wet,Other,Grade A,08/01/2026,1510.0,1510.0,1510.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patran APMC,Potato,Other,Grade A,08/01/2026,509.0,509.0,509.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patran APMC,Spinach,Other,Grade B,08/01/2026,655.0,655.0,655.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patran APMC,Cabbage,Other,Grade B,08/01/2026,572.0,572.0,572.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Patran APMC,Chikoos(Sapota),Sapota,Grade B,08/01/2026,4447.0,4447.0,4447.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Samana APMC,Apple,Kasmir/Shimla - II,Grade A,08/01/2026,800.0,800.0,800.0,2026-01-09T01:50:05.861050
Punjab,Patiala,Samana APMC,Grapes,Green,Grade A,08/01/2026,1300.0,1300.0,1300.0,2026-01-09T01:50:05.861050
Punjab,Sangrur,Dhuri APMC,Sweet Potato,Sweet Potato,Medium,08/01/2026,2000.0,2100.0,2050.0,2026-01-09T01:50:05.861050
Rajasthan,Baran,Baran APMC,Methi Seeds,Other,Local,08/01/2026,4900.0,4900.0,4900.0,2026-01-09T01:50:05.861050
Rajasthan,Chittorgarh,Nimbahera APMC,Wheat,Other,FAQ,08/01/2026,2561.0,2902.0,2732.0,2026-01-09T01:50:05.861050
Rajasthan,Pratapgarh,Pratapgarh APMC,Barley(Jau),Barley-Organic,FAQ,08/01/2026,2300.0,2345.0,2320.0,2026-01-09T01:50:05.861050
Rajasthan,Pratapgarh,Pratapgarh APMC,Linseed,Other,FAQ,08/01/2026,8100.0,8175.0,8150.0,2026-01-09T01:50:05.861050
Rajasthan,Churu,Sadulpur APMC,Bajra(Pearl Millet/Cumbu),Local,Local,08/01/2026,2200.0,2200.0,2200.0,2026-01-09T01:50:05.861050
Rajasthan,Dausa,Dausa APMC,Barley(Jau),Local,Local,08/01/2026,2150.0,2150.0,2150.0,2026-01-09T01:50:05.861050
Rajasthan,Hanumangarh,Sangriya APMC,Onion,Onion,Local,08/01/2026,1300.0,3200.0,2100.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Garlic,Average,FAQ,08/01/2026,4000.0,12000.0,8000.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Onion,Other,Medium,08/01/2026,800.0,1800.0,1300.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Ginger(Dry),Dry,FAQ,08/01/2026,5200.0,5300.0,5250.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Pumpkin,Other,FAQ,08/01/2026,800.0,900.0,850.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Cabbage,Other,FAQ,08/01/2026,700.0,800.0,750.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Mousambi(Sweet Lime),Other,Medium,08/01/2026,1800.0,2300.0,2050.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (F&V) APMC,Tender Coconut,Tender Coconut,Medium,08/01/2026,1500.0,2500.0,2000.0,2026-01-09T01:50:05.861050
Rajasthan,Jaipur,Jaipur (Grain) APMC,Maize,Other,Grade Range-2,08/01/2026,2400.0,2400.0,2400.0,2026-01-09T01:50:05.861050
Rajasthan,Jodhpur,Jodhpur (Grain) APMC,Isabgul(Psyllium),Other,Local,08/01/2026,13375.0,17037.5,15212.5,2026-01-09T01:50:05.861050
Rajasthan,Jodhpur,Jodhpur (Grain) APMC,Moath Dal,Other,Local,08/01/2026,4400.0,4510.0,4460.0,2026-01-09T01:50:05.861050
Rajasthan,Nagaur,Nagaur APMC,Guar Seed(Cluster Beans Seed),Other,Local,08/01/2026,5250.0,5250.0,5250.0,2026-01-09T01:50:05.861050
Rajasthan,Nagaur,Nagaur APMC,Green Gram(Moong)(Whole),Other,Local,08/01/2026,7800.0,7800.0,7800.0,2026-01-09T01:50:05.861050
Rajasthan,Nagaur,Nagaur APMC,"Sesamum(Sesame,Gingelly,Til)",Other,Local,08/01/2026,9500.0,9500.0,9500.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Hardoi APMC,Bitter gourd,Bitter Gourd,Medium,08/01/2026,2550.0,2610.0,2585.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Hardoi APMC,Cauliflower,Cauliflower,Medium,08/01/2026,1120.0,1200.0,1165.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Hardoi APMC,Bottle gourd,Bottle Gourd,Medium,08/01/2026,1790.0,1850.0,1810.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Hardoi APMC,Green Chilli,Green Chilly,Medium,08/01/2026,2800.0,2850.0,2830.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Hardoi,Hardoi APMC,Potato,Kufri Megha,FAQ,08/01/2026,700.0,770.0,740.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Paddy(Basmati),Basmati 1509,FAQ,08/01/2026,3100.0,3600.0,3400.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Mustard,Sarson(Black),FAQ,08/01/2026,6500.0,6860.0,6700.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Cauliflower,Cauliflower,FAQ,08/01/2026,900.0,1100.0,1000.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Garlic,Garlic,FAQ,08/01/2026,8000.0,8500.0,8300.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Potato,Desi,FAQ,08/01/2026,500.0,680.0,600.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Etawah,Etawah APMC,Pumpkin,Pumpkin,FAQ,08/01/2026,1100.0,1300.0,1200.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Rice,III,FAQ,08/01/2026,3355.0,3410.0,3380.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Onion,Red,FAQ,08/01/2026,1525.0,1575.0,1550.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Green Chilli,Green Chilly,FAQ,08/01/2026,3200.0,3260.0,3230.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Bottle gourd,Bottle Gourd,FAQ,08/01/2026,1700.0,1755.0,1735.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Spinach,Spinach,FAQ,08/01/2026,900.0,960.0,925.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Cabbage,Cabbage,FAQ,08/01/2026,925.0,975.0,950.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Raddish,Raddish,FAQ,08/01/2026,625.0,680.0,650.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Cauliflower,Cauliflower,FAQ,08/01/2026,1100.0,1150.0,1125.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Peas cod,Peas cod,FAQ,08/01/2026,2000.0,2075.0,2050.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Lemon,Lemon,FAQ,08/01/2026,3600.0,3680.0,3650.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Jaunpur,Jaunpur APMC,Papaya,Papaya,Medium,08/01/2026,2440.0,2515.0,2475.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Bitter gourd,Bitter Gourd,Local,08/01/2026,2420.0,2560.0,2520.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Bottle gourd,Bottle Gourd,Local,08/01/2026,1720.0,1870.0,1820.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Maize,Yellow,Local,08/01/2026,2180.0,2300.0,2230.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Paddy(Common),Common,Local,08/01/2026,1900.0,2050.0,1950.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Rice,III,Local,08/01/2026,3100.0,3200.0,3150.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Wheat,Dara,Local,08/01/2026,2500.0,2620.0,2550.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Mustard,Sarson(Black),Local,08/01/2026,6830.0,6920.0,6870.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lakhimpur,Lakhimpur APMC,Mustard Oil,Mustard Oil,Grade Range-3,08/01/2026,15800.0,15900.0,15850.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lalitpur,Lalitpur APMC,Apple,Other,Medium,08/01/2026,5170.0,5230.0,5200.0,2026-01-09T01:50:05.861050
Uttar Pradesh,Lalitpur,Lalitpur APMC,Pomegranate,Other,Medium,08/01/2026,5170.0,5230.0,5200.0,2026-01-09T01:50:05.861050
